index,Korea,English,Taiwanese,Portuguese,Italian,Turkish,Russian,French,Spanish,Japan
10033,서버연결이 잘 안되고 있습니다.\n게임을 종료하시겠습니까?,Your connection to the server is not good.\nAre you sure you want to quit the game?,未連結伺服器，\n要結束遊戲嗎？,Sua conexão com o servidor não é boa.\nVocê tem certeza que deseja sair do jogo?,La tua connessione al server non è buona.\nSei sicuro di voler chiudere il gioco?,Sunucu bağlantın iyi değil.\nOyundan çıkmak istediğine emin misin?,Плохое соединение с сервером.\nВыйти из игры?,Votre connection au serveur n'est pas bonne.\nÊtes vous sur de vouloir quitter le jeu ?,No tienes una buena conexión al servidor.\n¿Estás seguro de que quieres abandonar el juego?,サーバーに接続できません。\nゲームを終了しますか？
10034,패치 정보 파일에 문제가 있습니다.\n게임을 종료하시겠습니까,There is a problem with the patch information file.\nDo you want to quit the game?,更新資訊檔案發生問題，\n要結束遊戲嗎？,Há um problema com o arquivo de informações do patch.\nDeseja encerrar o jogo?,C'è un problema con il file delle informazioni.\nVuoi chiudere il gioco?,Yama bilgisi dosyanda bir problem var.\nOyundan çıkmak istiyor musun?,Проблема с патч-файлом данных.\nВыйти из игры?,Il y a un problème avec le fichier de mise à jour.\n Voulez vous quitter le jeu ?,Hay un problema con el archivo de información.\n¿Quieres abandonar el juego?,パッチファイルに問題があります。\nゲームを終了しますか
10035,패치 파일 로드에 문제가 있습니다.\n게임을 종료하시겠습니까?,There is a problem loading the patch file.\nDo you want to quit the game?,下載更新檔案發生問題，\n要結束遊戲嗎？,Há um problema ao carregar o arquivo patch.\nDeseja encerrar o jogo?,C'è un problema con il file patch.\nVuoi chiudere il gioco?,Yama dosyasını yüklemede bir problem var.\nOyundan çıkmak istiyor musun?,Проблема с загрузкой патч-файла.\nВыйти из игры?,Il y a un problème de chargement du fichier de mise à jour.\nVoulez vous quitter le jeu ?,Hay un problema al cargar el archivo de reparación.\n¿Quieres abandonar el juego?,パッチファイルの読み込みに問題があります。\nゲームを終了しますか？
10036,기존패치 파일이 존재합니다.\n게임을 종료하시겠습니까?,Patch file already exists.\n Are you sure you want to quit the game?,基本更新檔案不存在，\n要結束遊戲嗎？,O arquivo patch já existe.\nTem certeza de que deseja sair do jogo?,Il file patch esiste già.\n Sei sicuro di voler chiudere il gioco?,Yama dosyası zaten var.\nOyundan çıkmak istediğine emin misin?,Патч-файл уже существует.\nВыйти из игры?,Le fichier de mis à jour est déjà existant.\n Êtes vous sur de vouloir quitter le jeu ?,El archivo de reparación ya existe.\n¿Estás seguro de que quieres abandonar el juego?,既にパッチファイルが存在します。\nゲームを終了しますか？
10037,패치 다운로드에 문제가 있습니다.\n게임을 종료하시겠습니까?,There is a problem downloading the patch file.\nDo you want to quit the game?,下載更新檔案發生問題，\n要結束遊戲嗎？,Há um problema ao baixar o arquivo patch.\nDeseja sair do jogo?,Si verifica un problema facendo il download del file patch.\nVuoi chiudere il gioco?,Yama dosyasını indirmede bir problem var.\nOyundan çıkmak istiyor musun?,Проблема со скачиванием патч-файла.\nВыйти из игры?,Il y a un problème avec le téléchargement du fichier de mise à jour.\nVoulez vous quitter le jeu ?,Hay un problema al descargar el archivo de reparación.\n¿Quieres abandonar el juego?,パッチのダウンロードに問題があります。\nゲームを終了しますか？
10038,새로운 버전 설치가 필요합니다.,A new version installation is required.,需安裝新版本。,Instalação de uma nova versão é necessário.,E' richiesta una nuova versione da installare.,Yeni versiyon yükleme gerekli.,Необходимо установить новую версию.,Une nouvelle version est requise.,Una nueva versión de la instalación es requerida.,新しいバージョンのインストールが必要です。
10039,서버연결이 잘 안되고 있습니다.\n게임을 종료하시겠습니까?,Your connection to the server is not good.\n Are you sure you want to quit the game?,未連結伺服器，\n要結束遊戲嗎？,Sua conexão com o servidor não é boa.\nTem certeza de que deseja encerrar o jogo?,La tua connessione al server non è buona.\nSei sicuro di voler chiudere il gioco?,Sunucu bağlantın iyi değil.\nOyundan çıkmak istediğine emin misin?,Плохое соединение с сервером.\nВыйти из игры?,Votre connection au serveur n'est pas bonne.\n Êtes vous sur de vouloir quitter le jeu ?,No tienes una buena conexión al servidor.\n¿Estás seguro de que quieres abandonar el juego?,サーバーに接続できません。\nゲームを終了しますか？
10040,"""로딩 시작"".","""Start Loading"".",「開始讀取」.,"""Iniciar Carregamento"".","""Comincia il Caricamento"".","""Yüklemeye Başla''.","""Start Loading"".","""Commencer à charger"".","""Comenzar a Cargar"".",ロード開始
10041,"""로딩 시작"".","""Start Loading"".",「開始讀取」.,"""Iniciar Carregamento"".","""Comincia il Caricamento"".","""Yüklemeye Başla''.","""Start Loading"".","""Commencer à charger"".","""Comenzar a Cargar"".",ロード開始
10042,"""로딩 시작"".","""Start Loading"".",「開始讀取」.,"""Iniciar Carregamento"".","""Comincia il Caricamento"".","""Yüklemeye Başla''.","""Start Loading"".","""Commencer à charger"".","""Comenzar a Cargar"".",ロード開始
10043,"""패치 정보 받는 중"".","""Getting patch information"".",「接收更新資訊中」.,"""Obtendo informações de patch"".","""Sto ottenendo le informazioni patch"".","""Yama bilgisi alınıyor''.","""Getting patch information"".","""Obtention du fichier de mise a jour"".","""Conseguir la información de la reparación"".",パッチ情報受信中
10044,"""패치 받는 중"".","""Patching"".",「接收更新中」.,"""Patching"".","""Patching"".","""Yamalanıyor''.","""Patching"".","""Mise à jour"".","""Reparando"".",パッチ受信中
10045,"""게임 데이터 테이블 로드 중"".","""Loading game data table"".",「讀取遊戲數據表中」.,"""Carregando a tabela de dados do jogo"".","""Caricamento tabella dati gioco"".","""Oyun veri tablosu yükleniyor''.","""Loading game data table"".","""Chargement des Fichiers de Jeu"".","""Cargando los datos del juego"".",ゲームデータをロード中
10046,"""게임 데이터 테이블 로드 중"".","""Loading game data table"".",「讀取遊戲數據表中」.,"""Carregando a tabela de dados do jogo"".","""Caricamento tabella dati gioco"".","""Oyun veri tablosu yükleniyor''.","""Loading game data table"".","""Chargement des Fichiers de Jeu"".","""Cargando los datos del juego"".",ゲームデータをロード中
10047,"""사운드 파일 로드 중"".","""Loading Sound File"".",「下載音檔中」.,"""Carregando arquivo de som"".","""Caricamento File suoni"".","""Ses dosyası yükleniyor''.","""Loading Sound File"".","""Chargement du fichier sonore"".","""Cargando Archivo de Sonido"".",サウンドファイルをロード中
10048,"""사운드 파일 로드 중"".","""Loading Sound File"".",「下載音檔中」.,"""Carregando arquivo de som"".","""Caricamento File suoni"".","""Ses dosyası yükleniyor''.","""Loading Sound File"".","""Chargement du fichier sonore"".","""Cargando Archivo de Sonido"".",サウンドファイルをロード中
10049,"""오브젝트 파일 로드 중"".","""Loading Object File"".",「下載目標程序檔中」.,"""Carregando arquivo de objeto"".","""Caricamento File Oggetti"".","""Nesne dosyası yükleniyor''.","""Loading Object File"".","""Chargement du fichier objet"".","""Cargando Archivo Objeto"".",オブジェクトファイルを読み込み中
10050,"""오브젝트 파일 로드 중"".","""Loading Object File"".",「下載目標程序檔中」.,"""Carregando arquivo de objeto"".","""Caricamento File Oggetti"".","""Nesne dosyası yükleniyor''.","""Loading Object File"".","""Chargement du fichier objet"".","""Cargando Archivo Objeto"".",オブジェクトファイルを読み込み中
10051,"""스프라이트 파일 로드 중"".","""Loading sprite file"".",「下載sprite檔案中」.,"""Carregando arquivo sprite"".","""Caricamento File sprite"".","""Hareket dosyası yükleniyor''.","""Loading sprite file"".","""Chargement du fichier sprite"".","""Cargando el archivo duende"".",スプライトファイルの読み込み中
10052,"""스프라이트 파일 로드 중"".","""Loading sprite file"".",「下載sprite檔案中」.,"""Carregando arquivo sprite"".","""Caricamento File sprite"".","""Hareket dosyası yükleniyor''.","""Loading sprite file"".","""Chargement du fichier sprite"".","""Cargando el archivo duende"".",スプライトファイルの読み込み中
10053,"""씬 로드 중"".","""Loading Scene"".",「下載場景中」.,"""Carregando Cena"".","""Caricamento Scena"".","""Görüntü yükleniyor''.","""Loading Scene"".","""Chargement du décor"".","""Cargando Escenario"".",シーンをロード中
10054,"""씬 로드 중"".","""Loading Scene"".",「下載場景中」.,"""Carregando Cena"".","""Caricamento Scena"".","""Görüntü yükleniyor''.","""Loading Scene"".","""Chargement du décor"".","""Cargando Escenario"".",シーンをロード中
10055,"""UI 로드 중"".","""Loading UI"".",「下載UI中」.,"""Carregando UI"".","""Caricamento UI"".","""UI yükleniyor''.","""Loading UI"".","""Chargement de l'interface"".","""Cargando IU"".",UIをロード中
10056,"""UI 로드 중"".","""Loading UI"".",「下載UI中」.,"""Carregando UI"".","""Caricamento UI"".","""UI yükleniyor''.","""Loading UI"".","""Chargement de l'interface"".","""Cargando IU"".",UIをロード中
10057,"""로그인 중"".","""Log in"".",「登入中」.,"""Log in"".","""Log in"".","""Giriş Yap''.","""Вход"".","""S'identifier"".","""Iniciar Sesión"".",ログイン中
10058,"""로그인 중"".","""Log in"".",「登入中」.,"""Log in"".","""Log in"".","""Giriş Yap''.","""Вход"".","""S'identifier"".","""Iniciar Sesión"".",ログイン中
10059,"""로비 입장 중"".","""Entering the lobby"".",「進入大廳中」.,"""Entrando no lobby"".","""Entrando nella lobby"".","""Lobiye giriliyor''.","""Entering the lobby"".","""Entrer dans le lobby"".","""Entrando en el lobby"".",ロビー入場中
10060,"""로비 입장 중"".","""Entering the lobby"".",「進入大廳中」.,"""Entrando no lobby"".","""Entrando nella lobby"".","""Lobiye giriliyor''.","""Entering the lobby"".","""Entrer dans le lobby"".","""Entrando en el lobby"".",ロビー入場中
10061,"""완료""","""complete""",「完成」,"""Concluído""","""Completo""","""Tamamla''","""complete""","""Complété"".","""completar""",完了
10062,Tip. 팀 레벨이 증가하면 더욱 많은 점수를 얻을 수 있어요.,Tip: Get a Higher Bonus Score with a Higher Team Level!,Tip.隊伍等級越高，可獲得越多分數。,Dica: Obtenha uma pontuação de bônus superior com um nível de equipe superior!,Consiglio: Ottieni un Punteggio Bonus Più alto con un Livello di Squadra Maggiore!,İpucu: Daha Yüksek Takım Seviyesiyle Daha Yüksek Bonus Skoru al!,Подсказка: Получите больше бонусных очков благодаря высокому уровню команды!,Astuce: Obtiens un score bonus supérieur avec un niveau d'équipe supérieur!,Consejo: ¡Consigue una Puntuación más Alta con un Nivel Superior de Equipo!,ヒント: チームレベルがUPすると、さらに多くのポイントをGETできるよ！
10063,Tip. 캐릭터 배지를 획득하면 게임에서 높은 점수를 얻을 수 있어요.,Tip: Collect more Character Badges while running to score higher in the game!,Tip.獲得角色徽章時，可在遊戲中獲得高分。,Dica: Colete mais distintivos de personagem enquanto corre para pontuar mais alto no jogo!,Consiglio: Colleziona più Badge Personaggi mentre corri per fare punteggio più alto nel gioco!,İpucu: Oyunda skoru yükseltmek için koşarken daha fazla Karakter Rozeti topla!,Подсказка: Соберите больше беджей персонажей во время бега. чтобы заработать больше очков в игре!,Astuce: collectionne plus d'Insigne de personnages en courant pour marquer plus de points dans une partie !,Consejo: ¡Consigue una Puntuación más Alta con un Nivel Superior de Equipo!,ヒント: キャラクターバッジを獲得すれば高得点をGETできるよ！
10064,Tip. 코인을 획득해 캐릭터 스킬 레벨업과 보물 강화에 도전하세요.,Tip: Collect Coins to Upgrade Characters and Treasures.,Tip.獲得代幣可挑戰角色技能升級與強化寶物。,Dica: Colete as moedas para melhorar personagens e tesouros.,Consiglio: Colleziona Monete per Evolvere Personaggi e Tesori.,İpucu: Karakterler ve Hazineleri yükseltmek için Jeton topla.,Подсказка: Соберите монеты для усиления навыков персонажей и сокровищ.,Astuce: collectionne des pièces pour améliorer les personnages et les trésors.,Consejo: Recopila Monedas para Mejorar a los Personajes y los Tesoros.,ヒント: コインをたくさん集めてキャラや宝物を強化してね！
10065,Tip. 보물을 진화시키면 추가 능력치가 랜덤하게 부여됩니다.,Tip: Evolved Treasures will give new abilities.,Tip.進化寶物，將隨機發送追加能力值！,Dica: Tesouros evoluídos darão novas habilidades.,Consiglio: Tesori Evoluti ti daranno nuove abilità.,İpucu: Gelişmiş Hazineler yeni kabiliyetler verecektir.,Подсказка: Эволюционировавшие сокровища принесут больше навыков.,Astuce: Les trésors évolués donneront de nouvelles capacités.,Consejo: Los Tesoros Evolucionados proporcionarán nuevas habilidades.,ヒント: 宝物を進化させると追加能力が獲得できるよ！
10066,Tip. 캐릭터의 스킬 레벨업에는 캐릭터 조각과 코인이 필요해요,Tip: Character Pieces and Coins are needed to upgrade Character Skills.,Tip.角色技能升級需角色碎片與代幣。,Dica: Pedaços de personagens e Moedas são necessários para melhorar as habilidades de personagem.,Consiglio: Pezzi di Personaggi e Monete servono per fare l'upgrade delle Abilità Personaggio.,İpucu: Karakter Parçaları ve Jetonların Karakter Yeteneklerinin yükseltilmesine ihtiyacı var.,Подсказка: Фрагменты персонажей и монеты необходимы для усиления навыков персонажей.,Astuce: Des pièces de personnage et des pièces de monnaie sont nécessaires pour améliorer les compétences de Personnage.,Consejo: Los Pedazos de los Personaje y las Monedas son necesarios para mejorar las Habilidades del Personaje.,ヒント: キャラクターのスキルレベルアップにはキャラクターのかけらとコインが必要だよ！
10067,Tip. 캐릭터 조각은 뽑기와 게임 중 획득하는 미스터리 박스에서 얻을 수 있어요.,Tip: Character Pieces can be acquired from opening Mystery Chests collected in Portals or by trying your luck at the Draw from the Shop.,Tip.可於抽取於遊戲中獲得的神秘箱獲得角色碎片。,Dica: Pedaços de personagem podem ser adquiridos de abertura de caixas de mistério coletados nos portais ou tentando sua sorte no sorteio da loja.,Consiglio: Pezzi di Personaggio possono essere conseguiti dall'apertura delle Ceste Misteriose collezionate nei Portali o tentando la fortuna al Sorteggio del Negozio.,İpucu: Karakter Parçaları Portallardan toplanan Gizemli Sandık kutularının açılmasından ya da Mağazadaki çekilişte şansını deneyerek elde edilir.,Подсказка: Фрагменты персонажей можно получить. открыв таинственные сундуки. собранные в порталах или выигранные в лотерею.,Astuce: Les pièces de personnage peuvent être acquises à partir de l'ouverture des coffres mystérieux collectés dans les Portails ou en essayant votre chance au Tirage dans la boutique.,Consejo: Los Pedazos de los Personaje se pueden obtener abriendo los Cofres Misteriosos recopilados en los Portales o probando suerte en la Extracción de la Tienda.,ヒント: キャラクターのかけらはガチャとゲーム中獲得する宝箱からGETできるよ！
10068,Tip. 몬스터를 처치할 때는 드래그해서 캐릭터를 조종해야 해요.,Tip: Drag your character left and right to shoot at and defeat the monsters in the Zombie Candy Portal.,Tip.擊退怪獸時需拖曳、操作角色。,Dica: Arraste seu personagem para a esquerda e a direita para atirar e derrotar os monstros no Zombie Candy Portal.,Consiglio: trascina il tuo personaggio a destra e sinistra per sparare e sconfiggere i mostri nel Portale Caramella Zombie.,İpucu: Ateş etmek için karakterini sola ve sağa sürükle ve Zombi Şeker Portalında canavarları alt et.,Подсказка: Уводите своего персонажа влево или вправо. чтобы уничтожить монстров в Королевстве сладостей.,Astuce: Fait glisser ton personnage à gauche et à droite pour tirer sur et vaincre les monstres dans le portail Bonbon Zombie.,Consejo: Arrastra tu personaje de derecha a izquierda para disparar y derrotar a los monstruos en el Portal de Caramelos Zombis.,ヒント: モンスターを倒すときは、左右にキャラをスワイプして攻撃しよう！
10069,Tip. 다운로드 수가 많아지면 더욱 멋진 에피소드가 추가됩니다.,Tip: We'll make mOoore Episodes for The Ooo Expedition as more players download the game.,Tip.下載數增加時將新增更好玩的劇情故事。,Dica: Vamos preparar mais episódios para A expedição Ooo conforme mais jogadores baixar o jogo.,Consiglio: faremo Piiiiù Episodi per la Spedizione quando più giocatori faranno il download del gioco.,İpucu: Daha fazla kullanıcı oyunu indirsin diye Ooo Seferleri için daha fazla Bölüm yapacağız.,Подсказка: Мы создадим бОоольше эпизодов для Экспедиции Ооо с увеличением количества скачиваний игры.,Astuce: Plus de joueurs téléchargent le jeu plus nous ferons d’épisodes pour L'Expédtion Ooo.,Consejo: Crearemos mÁaaas Episodios para las Expedición de Ooo a medida que más jugadores se descarguen el juego.,ヒント: みんながたくさんアプリをダウンロードしてくれれば、さらにエピソードが追加されるかも！？
10070,Tip. 태그 대기중인 캐릭터들은 체력이 조금씩 회복됩니다.,Tip: When characters are not running. they slowly restore their HP.,Tip.一點一點恢復等待標籤中的角色體力。,Dica: Quando os personagens não estão sendo executados. eles restauram HP lentamente.,Consiglio: Quando i personaggi non corrono. recuperano piano piano la loro HP.,İpucu: Karakterler koşmadığında HP lerini yavaşça düzeltirler.,Подсказка: Когда персонажи не бегут. они медленно восстанавливают свое здоровье.,Astuce: Lorsque les personnages ne courent pas. ils restaurent lentement leur HP.,Consejo: Cuando los personajes no están corriendo. su PS se recupera de manera más lenta.,ヒント: タッグで待機中のキャラは少しずつHPが回復するよ！
10071,Tip. 징검다리 포탈에서는 물에 빠지면 포탈이 종료됩니다.,Tip: Falling in the water instantly ends the Pirate Portal.,Tip.若於石橋傳送門落水，將結束傳送門。,Dica: Caindo na água termina instantaneamente o Portal Pirata.,Consiglio: Cadere nell'acqua fa finire istantemente il Portale Pirati.,İpucu: Anlık suya düşmek Korsan Portalını sonlandırır.,Подсказка: Падение в воду моментально завершает Портал Пиратов.,Astuce: Tomber dans l'eau finit instantanément le Portail Pirate.,Consejo: Si caes en el agua se termina el Portal Pirata de manera instantánea.,ヒント: 飛び石ポータルは水に落ちると終わっちゃうよ！
10072,Tip. 골드맵을 클리어하면 획득한 코인이 2배가 됩니다.,Tip: Clearing the gold map gives double the gold coins.,Tip.通過黃金地圖時，獲得2倍代幣。,Dica: Concluindo o mapa de ouro dá o dobro de moedas de ouro.,Consiglio: Completare la mappa d'oro da il doppio delle monete oro.,İpucu: Altın haritasını temizlemek çift altın jetonu verir.,Подсказка: Прохождение золотой карты дает двойное количество золотых монет.,Astuce: Finir la carte or donne le double de pièces d'or.,Consejo: Completar el mapa dorado te proporciona el doble de monedas de oro.,ヒント: ゴールドマップをクリアすると獲得したコインが2倍になるよ！
10073,Tip. 랭킹 보상으로 획득한 메달로 캐릭터 조각^재료 등 다양한 아이템을 구매할 수 있습니다.,Tip: Medals obtained from Ranking Rewards can be used in the Medal Shop to buy Character Pieces and Material Items.,Tip.可於商店使用獲得的排名獎勵獎牌，^購買角色碎片等各種道具。,Dica: As Medalhas obtidos de recompensas de classificação podem ser usados na loja de medalha para comprar pedaços de personagem e itens de material.,Consiglio: le Medaglie ottenute dalle Ricompense Classifica possono essere usate nel Negozio Medaglie per comprare i Pezzi Personaggio e Oggetti Materiali.,İpucu: Sıralama Ödüllerinden elde ettiğin madalyalar Madalya Mağazasında Karakter Parçaları ve Materyal Öğeleri almak için kullanılabilir.,Подсказка: Медали. полученные в качестве награды за рейтинг. можно использовать в магазине медалей для покупки фрагментов персонажей и материалов.,Astuce: Les médailles obtenues auprès des récompenses de rang peuvent être utilisées dans la boutique de médailles pour acheter des pièces de personnage et des matériaux.,Consejo: Las Medallas obtenidas a partir de las Recompensas del Ranking se pueden usar en la Tienda de Medallas para comprar los Pedazos de los Personajes y los Artículos del Material.,ヒント: ランキング報酬でGETしたメダルで、ショップでキャラクターのかけらやマテリアルアイテムを購入できるよ！
10074,Tip. 친구 활동을 통해 획득한 소셜 포인트로 상점에서 하트를 구매하실 수 있습니다.,Tip: Use Social Points earned from Friends' activities in the Shop to buy more Hearts.,Tip.可於商店使用獲得的好友活動社群點數購買愛心。,Dica: Use os pontos sociais ganhos das atividades dos amigos na loja para comprar mais corações.,Consiglio: Utilizza Punti Sociali guadagnati dalle attività degli Amici nel Negozio per comprare più Cuori.,İpucu: Mağazada daha fazla kalp almak için arkadaşlarının aktivitelerinden kazandığın Sosyal Puanları kullan.,Подсказка: Используйте социальные очки. полученные за действия друзей. в магазине для покупки сердец.,Astuce: utilise les points sociaux gagnés par les activités amis dans la boutique pour acheter plus de cœurs,Consejo: Usa los Puntos Sociales ganados a partir de las actividades de tus Amigos en la Tienda para comprar más Corazones.,ヒント: 友人のアクティビティから得たソーシャルポイントをショップで使えば、ハートを購入できるよ！
10075,Tip. 밤은 낮보다 체력 감소량이 증가하여 게임 플레이가 어려워집니다.,Tip: HP reduces faster at Night.,Tip.晚上較白天消耗體力，遊戲進行更困難。,Dica: a HP reduz mais rapidamente à noite.,Consiglio: HP si riduce più velocemente di Notte.,İpucu: HP gece daha hızlı azalır.,Подсказка: Ночью здоровье уменьшается быстрее.,Astuce: Les PV réduisent plus rapidement la nuit.,Consejo: El PS disminuye más rápido por la Noche.,ヒント: 夜は昼よりもHP減少量が増えてゲームが難しくなるよ！
10076,게임을 플레이하려면 다음을 읽고 이용 약관과 개인정보 취급 방침에 동의해야 합니다.,To play the game. you must read and agree to the Terms of Use and Privacy Policy.,若欲使用遊戲，請閱讀並同意下方使用條款與隱私權政策。,Para jogar o jogo. você deve ler e concordar com os Termos de Uso e Política de Privacidade.,Per giocare. devi leggere e accettare i Termini di Utilizzo e la Policy di Privacy.,Oyunu oynamak için Kullanım Koşullarını ve Gizlilik Politikasını okuyup onaylamak zorundasınız.,Чтобы играть. вам необходимо прочитать и согласиться с правилами использования и политикой конфиденциальности.,Pour jouer au jeu. vous devez lire et accepter les Conditions d'utilisation et la Politique de confidentialité.,Para jugar al juego. debes leer y aceptar los Términos de Uso y la Política de Privacidad.,ゲームをプレイするには、次の利用規約とプライバシーポリシーに同意する必要があります。
10077,이용 약관,Terms of Service,使用條款,Termos de Serviço,Termini di Servizio,Kullanım Koşulları,Правила использования,Conditions d'utilisation,Términos del Servicio,利用規約
10078,개인 정보 취급 방침,Privacy Policy,隱私權條款,Política de Privacidade,Privacy Policy,Gizlilik Politikası,Политика конфиденциальности,Politique de confidentialité,Política de Privacidad,プライバシーポリシー
10079,당신의 나이를 입력하세요.,Please enter your age.,請輸入年齡。,Por favor. digite a sua idade.,Inserisci la tua età.,Lütfen yaşınızı giriniz.,Введите свой возраст,Entrez votre âge.,Por favor. introduce tu edad.,あなたの年齢を入力してください。
10080,수락,Accept,接受,Aceitar,Accetta,Kabul,Принять,Acceptez,Aceptar,同意する